tokens,latency_ns,bw_util,occupancy,gridX,gridY,gridZ,blockX,blockY,blockZ,register_per_trhead,static_shared_mem,dyanmic_shared_mem
6304,236416,0.897,0.125,64,1,4,32,1,4,182,0,69632
6320,236224,0.8962,0.125,64,1,4,32,1,4,182,0,69632
6336,236512,0.9038,0.125,64,1,4,32,1,4,182,0,69632
6352,236480,0.8969,0.125,64,1,4,32,1,4,182,0,69632
6368,235264,0.9017,0.125,64,1,4,32,1,4,182,0,69632
6384,237216,0.9059,0.125,64,1,4,32,1,4,182,0,69632
6400,237856,0.9016,0.125,64,1,4,32,1,4,182,0,69632
6416,237888,0.8869,0.125,64,1,4,32,1,4,182,0,69632
6432,240000,0.9068,0.125,64,1,4,32,1,4,182,0,69632
6448,242976,0.9024,0.125,64,1,4,32,1,4,182,0,69632
6464,238880,0.8964,0.125,64,1,4,32,1,4,182,0,69632
